chr	start	end	interval_id	num_peaks	num_samples	kidney_14_5_REP1.mLb.clN.bool	kidney_14_5_REP2.mLb.clN.bool	kidney_15_5_REP1.mLb.clN.bool	kidney_15_5_REP2.mLb.clN.bool	liver_14_5_REP1.mLb.clN.bool	liver_14_5_REP2.mLb.clN.bool	liver_15_5_REP1.mLb.clN.bool	liver_15_5_REP2.mLb.clN.bool	kidney_14_5_REP1.mLb.clN.fc	kidney_14_5_REP2.mLb.clN.fc	kidney_15_5_REP1.mLb.clN.fc	kidney_15_5_REP2.mLb.clN.fc	liver_14_5_REP1.mLb.clN.fc	liver_14_5_REP2.mLb.clN.fc	liver_15_5_REP1.mLb.clN.fc	liver_15_5_REP2.mLb.clN.fc	kidney_14_5_REP1.mLb.clN.qval	kidney_14_5_REP2.mLb.clN.qval	kidney_15_5_REP1.mLb.clN.qval	kidney_15_5_REP2.mLb.clN.qval	liver_14_5_REP1.mLb.clN.qval	liver_14_5_REP2.mLb.clN.qval	liver_15_5_REP1.mLb.clN.qval	liver_15_5_REP2.mLb.clN.qval	kidney_14_5_REP1.mLb.clN.pval	kidney_14_5_REP2.mLb.clN.pval	kidney_15_5_REP1.mLb.clN.pval	kidney_15_5_REP2.mLb.clN.pval	liver_14_5_REP1.mLb.clN.pval	liver_14_5_REP2.mLb.clN.pval	liver_15_5_REP1.mLb.clN.pval	liver_15_5_REP2.mLb.clN.pval	kidney_14_5_REP1.mLb.clN.start	kidney_14_5_REP2.mLb.clN.start	kidney_15_5_REP1.mLb.clN.start	kidney_15_5_REP2.mLb.clN.start	liver_14_5_REP1.mLb.clN.start	liver_14_5_REP2.mLb.clN.start	liver_15_5_REP1.mLb.clN.start	liver_15_5_REP2.mLb.clN.start	kidney_14_5_REP1.mLb.clN.end	kidney_14_5_REP2.mLb.clN.end	kidney_15_5_REP1.mLb.clN.end	kidney_15_5_REP2.mLb.clN.end	liver_14_5_REP1.mLb.clN.end	liver_14_5_REP2.mLb.clN.end	liver_15_5_REP1.mLb.clN.end	liver_15_5_REP2.mLb.clN.end	kidney_14_5_REP1.mLb.clN.summit	kidney_14_5_REP2.mLb.clN.summit	kidney_15_5_REP1.mLb.clN.summit	kidney_15_5_REP2.mLb.clN.summit	liver_14_5_REP1.mLb.clN.summit	liver_14_5_REP2.mLb.clN.summit	liver_15_5_REP1.mLb.clN.summit	liver_15_5_REP2.mLb.clN.summit
chr18	70070294	70070766	Interval_2608	2	2	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	NA	NA	NA	NA	3.77276	4.81314	NA	NA	NA	NA	NA	NA	2.90913	10.4496	NA	NA	NA	NA	NA	NA	5.25326	12.7165	NA	NA	NA	NA	NA	NA	70070294	70070352	NA	NA	NA	NA	NA	NA	70070632	70070766	NA	NA	NA	NA	NA	NA	2	208	NA	NA
chr18	70102786	70103189	Interval_2609	2	2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	5.23691	NA	5.41905	NA	NA	NA	NA	NA	12.9582	NA	6.40436	NA	NA	NA	NA	NA	15.2629	NA	8.78545	NA	NA	NA	NA	NA	70102786	NA	70102864	NA	NA	NA	NA	NA	70103189	NA	70103142	NA	NA	NA	NA	NA	294	NA	155
chr18	70140952	70141842	Interval_2610	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	5.43698	6.24979	6.99382	7.31493	NA	NA	NA	NA	7.14459	16.1156	20.5976	20.5578	NA	NA	NA	NA	9.84936	18.7558	23.4223	23.312	NA	NA	NA	NA	70141114	70140952	70141050	70141087	NA	NA	NA	NA	70141706	70141696	70141739	70141842	NA	NA	NA	NA	193	555	470	488	NA	NA	NA	NA
chr18	70184481	70185099	Interval_2611	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	4.45038	4.83903	3.909	4.3251	NA	NA	NA	NA	4.35294	7.71265	4.22026	5.51363	NA	NA	NA	NA	6.87906	10.0899	6.47149	7.80933	NA	NA	NA	NA	70184761	70184566	70184522	70184481	NA	NA	NA	NA	70185002	70185099	70184799	70184881	NA	NA	NA	NA	103	237	238	71	NA	NA	NA	NA
chr18	70261591	70262505	Interval_2612	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	5.31524	7.87796	6.44722	7.01251	NA	NA	NA	NA	9.68694	30.5088	19.5395	23.4874	NA	NA	NA	NA	12.5176	33.4435	22.3401	26.3	NA	NA	NA	NA	70261591	70261725	70261623	70261621	NA	NA	NA	NA	70262383	70262491	70262505	70262500	NA	NA	NA	NA	192	549	584	462	NA	NA	NA	NA
chr18	70372516	70372772	Interval_2613	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	2.4415	NA	NA	NA	NA	NA	NA	NA	1.33359	NA	NA	NA	NA	NA	NA	NA	3.24978	NA	NA	NA	NA	NA	NA	NA	70372516	NA	NA	NA	NA	NA	NA	NA	70372772	NA	NA	NA	NA	NA	NA	NA	159	NA	NA	NA	NA	NA
chr18	70375664	70376264	Interval_2614	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	4.23667	3.92708	3.986	NA	NA	NA	NA	NA	7.31645	5.75281	6.44053	NA	NA	NA	NA	NA	9.67772	8.09892	8.78262	NA	NA	NA	NA	NA	70375664	70375716	70375664	NA	NA	NA	NA	NA	70376152	70376108	70376264	NA	NA	NA	NA	NA	433	246	266	NA	NA	NA	NA
chr18	70385950	70386463	Interval_2615	2	2	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	3.32222	NA	4.83394	NA	NA	NA	NA	NA	2.64905	NA	7.04775	NA	NA	NA	NA	NA	4.71538	NA	9.41758	NA	NA	NA	NA	NA	70385950	NA	70385978	NA	NA	NA	NA	NA	70386447	NA	70386463	NA	NA	NA	NA	NA	32	NA	347	NA	NA	NA	NA
chr18	70420055	70420680	Interval_2616	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	4.91792	6.63328	3.49514	6.6532	NA	NA	NA	NA	6.2649	13.5923	3.07299	14.9158	NA	NA	NA	NA	8.91871	16.166	5.23484	17.5398	NA	NA	NA	NA	70420314	70420055	70420275	70420085	NA	NA	NA	NA	70420602	70420616	70420574	70420680	NA	NA	NA	NA	182	405	222	416	NA	NA	NA	NA
chr18	70422069	70422411	Interval_2617	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	3.83367	NA	NA	NA	NA	NA	NA	NA	3.87143	NA	NA	NA	NA	NA	NA	NA	6.0791	NA	NA	NA	NA	NA	NA	NA	70422069	NA	NA	NA	NA	NA	NA	NA	70422411	NA	NA	NA	NA	NA	NA	NA	75	NA
chr18	70437570	70438042	Interval_2618	4	4	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	NA	4.42962	4.57056	4.47026	NA	NA	3.78726	NA	NA	5.44105	5.92005	6.06509	NA	NA	3.55478	NA	NA	7.71164	8.27549	8.38896	NA	NA	5.75022	NA	NA	70437570	70437729	70437655	NA	NA	70437644	NA	NA	70437887	70438042	70437990	NA	NA	70437909	NA	NA	192	137	169	NA	NA	50	NA
chr18	70471779	70473392	Interval_2619	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	9.04094	8.70648	8.94537	9.1698	9.74186	10.8207	10.2554	8.89468	36.6535	54.3557	52.5438	51.9065	42.4959	155.931	63.4098	38.759	40.4005	57.6385	55.9155	55.1614	45.5392	158.906	66.2886	41.6204	70471948	70471858	70471779	70471829	70471852	70471779	70471852	70471879	70472909	70473392	70473081	70473177	70473135	70473070	70472912	70472874	556	649	731	675	679	909	652	811
chr18	70522176	70522761	Interval_2620	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	3.91559	4.32887	3.9634	NA	NA	NA	NA	NA	5.78503	7.18195	6.38758	NA	NA	NA	NA	NA	8.0725	9.60015	8.72753	NA	NA	NA	NA	NA	70522176	70522227	70522310	NA	NA	NA	NA	NA	70522701	70522761	70522701	NA	NA	NA	NA	NA	448	205	307	NA	NA	NA	NA
chr18	70529635	70530726	Interval_2621	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	9.36648	12.4115	10.5703	11.3408	14.5733	14.5589	14.8162	12.6832	37.642	122.633	89.5962	101.735	172.856	658.336	301.834	156.333	41.4173	126.796	93.4639	105.593	176.927	662.508	305.669	160.068	70529839	70529828	70529804	70529817	70529823	70529756	70529799	70529635	70530686	70530679	70530726	70530670	70530686	70530726	70530716	70530713	448	501	488	459	506	576	483	669
chr18	70536392	70537088	Interval_2622	4	4	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	3.91571	5.06771	4.18972	4.05081	NA	NA	NA	NA	4.58241	20.9744	7.24116	5.47611	NA	NA	NA	NA	7.00723	23.3685	9.56308	7.82581	NA	NA	NA	NA	70536767	70536724	70536392	70536742	NA	NA	NA	NA	70537074	70537088	70537067	70537076	NA	NA	NA	NA	62	112	406	183
chr18	70545543	70546403	Interval_2623	3	3	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	NA	2.88895	NA	NA	NA	NA	4.78788	5.89065	NA	2.27264	NA	NA	NA	NA	7.33011	9.70776	NA	4.2948	NA	NA	NA	NA	9.6544	12.1781	NA	70545543	NA	NA	NA	NA	70545565	70545622	NA	70545978	NA	NA	NA	NA	70545973	70546403	NA	19	NA	NA	NA	NA	206	161
chr18	70550796	70551203	Interval_2624	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	2.73904	NA	NA	NA	NA	NA	NA	NA	2.54255	NA	NA	NA	NA	NA	NA	NA	4.65107	NA	NA	NA	NA	NA	NA	NA	70550796	NA	NA	NA	NA	NA	NA	NA	70551203	NA	NA	NA	NA	NA	NA	NA	137	NA	NA	NA	NA	NA
chr18	70552594	70553712	Interval_2625	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	4.13717	4.50437	4.30571	4.53694	11.2854	13.3028	12.7875	11.4844	6.21056	10.0605	8.56934	10.4423	49.0602	175.946	82.299	50.4482	8.8611	12.5263	11.0467	12.9381	52.1688	178.973	85.2736	53.4169	70552594	70553003	70552843	70552758	70553041	70552935	70552972	70552858	70553443	70553538	70553534	70553520	70553544	70553712	70553712	70553682	460	265	173	579	301	473	441	547
chr18	70562912	70563784	Interval_2626	4	4	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	8.97186	8.58026	8.02487	7.45046	NA	NA	NA	NA	111.975	396.824	181.636	92.8389	NA	NA	NA	NA	115.614	400.41	185.05	96.135	NA	NA	NA	NA	70563114	70562912	70563104	70563104	NA	NA	NA	NA	70563749	70563784	70563758	70563749	NA	NA	NA	NA	500	656	510	511
chr18	70567720	70569296	Interval_2627	8	8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	7.66452	9.42373	8.18393	9.64684	9.73485	9.27118	10.4072	10.0665	42.0178	107.36	81.7117	100.296	142.251	484.52	306.251	162.704	45.9249	111.32	85.4801	104.135	146.106	488.302	310.098	166.473	70567720	70567851	70567769	70567844	70567924	70567922	70568031	70568033	70569062	70569296	70569150	70569063	70568597	70568945	70568980	70568689	530	397	479	391	323	369	213	211
chr18	70573009	70573608	Interval_2628	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	1.94915	NA	NA	NA	NA	NA	NA	NA	8.88371	NA	NA	NA	NA	NA	NA	NA	11.1236	NA	NA	NA	NA	NA	NA	NA	70573009	NA	NA	NA	NA	NA	NA	NA	70573608	NA	NA	NA	NA	NA	NA	NA	41	NA	NA
chr18	70577511	70577744	Interval_2629	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	2.62946	NA	NA	NA	NA	NA	NA	NA	3.48684	NA	NA	NA	NA	NA	NA	NA	5.62682	NA	NA	NA	NA	NA	NA	NA	70577511	NA	NA	NA	NA	NA	NA	NA	70577744	NA	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	NA	NA
chr18	70578040	70578564	Interval_2630	2	2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	4.60253	NA	5.17259	NA	NA	NA	NA	NA	20.4832	NA	11.1347	NA	NA	NA	NA	NA	22.873	NA	13.6375	NA	NA	NA	NA	NA	70578040	NA	70578135	NA	NA	NA	NA	NA	70578564	NA	70578406	NA	NA	NA	NA	NA	213	NA	182
chr18	70579111	70579430	Interval_2631	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	3.04244	NA	NA	NA	NA	NA	NA	NA	5.41484	NA	NA	NA	NA	NA	NA	NA	7.70384	NA	NA	NA	NA	NA	NA	NA	70579111	NA	NA	NA	NA	NA	NA	NA	70579430	NA	NA	NA	NA	NA	NA	NA	256	NA	NA	NA	NA
chr18	70582165	70582965	Interval_2632	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	5.83972	6.12023	6.01725	4.94489	NA	NA	NA	NA	13.0826	25.7275	23.1907	17.0038	NA	NA	NA	NA	16.0597	28.5723	26.0676	19.6771	NA	NA	NA	NA	70582233	70582370	70582399	70582165	NA	NA	NA	NA	70582722	70582715	70582965	70582715	NA	NA	NA	NA	322	187	167	371	NA	NA	NA	NA
chr18	70588786	70589218	Interval_2633	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.2046	NA	NA	NA	NA	NA	NA	NA	3.15103	NA	NA	NA	NA	NA	NA	NA	5.32006	NA	NA	NA	NA	NA	NA	NA	70588786	NA	NA	NA	NA	NA	NA	NA	70589218	NA	NA	NA	NA	NA	NA	NA	257	NA	NA	NA	NA	NA
chr18	70599958	70600298	Interval_2634	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	3.18387	NA	NA	NA	NA	NA	NA	NA	4.79578	NA	NA	NA	NA	NA	NA	NA	6.93177	NA	NA	NA	NA	NA	NA	NA	70599958	NA	NA	NA	NA	NA	NA	NA	70600298	NA	NA	NA	NA	NA	NA	NA	288	NA	NA
chr18	70608268	70608892	Interval_2635	2	2	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	4.80715	3.72586	NA	NA	NA	NA	NA	NA	12.1949	6.7613	NA	NA	NA	NA	NA	NA	14.7286	9.15895	NA	NA	NA	NA	NA	NA	70608606	70608268	NA	NA	NA	NA	NA	NA	70608892	70608853	NA	NA	NA	NA	NA	NA	124	498	NA	NA	NA	NA	NA
chr18	70610738	70611833	Interval_2636	6	6	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	3.33917	3.04846	3.31887	3.70033	4.4324	3.6043	NA	NA	5.2651	3.77858	2.59725	8.8773	8.41566	4.08002	NA	NA	7.58398	5.9624	4.91734	11.1171	10.767	6.37372	NA	NA	70610875	70610844	70610738	70610760	70610795	70610762	NA	NA	70611150	70611098	70611007	70611251	70611833	70611150	NA	NA	240	43	8	181	331	355
chr18	70618463	70618856	Interval_2637	2	2	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	4.12725	NA	3.23137	NA	NA	NA	NA	NA	5.43678	NA	3.81872	NA	NA	NA	NA	NA	7.70549	NA	6.0052	NA	NA	NA	NA	NA	70618503	NA	70618463	NA	NA	NA	NA	NA	70618856	NA	70618763	NA	NA	NA	NA	NA	246	NA	172	NA	NA	NA	NA
chr18	70622428	70622691	Interval_2638	1	1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	3.79483	NA	NA	NA	NA	NA	NA	NA	8.43133	NA	NA	NA	NA	NA	NA	NA	10.6619	NA	NA	NA	NA	NA	NA	NA	70622428	NA	NA	NA	NA	NA	NA	NA	70622691	NA	NA	NA	NA	NA	NA	NA	79	NA	NA
chr18	70644047	70645191	Interval_2639	7	7	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	5.24669	4.39313	4.44319	5.78262	6.65451	5.19851	6.3583	NA	12.7398	7.91106	9.27057	8.64594	25.0397	8.47249	11.3809	NA	15.2898	10.3612	11.7272	11.204	27.4687	10.8251	13.8886	NA	70644574	70644485	70644247	70644390	70644289	70644047	70644204	NA	70645048	70645024	70645191	70645097	70645113	70645087	70645060	NA	266	346	461	265	535	650	474
chr18	70652058	70652918	Interval_2640	4	4	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	NA	4.92117	6.18059	6.05262	NA	3.29439	NA	NA	NA	8.52823	14.2164	14.7878	NA	5.72949	NA	NA	NA	10.939	16.8845	17.4087	NA	7.89371	NA	NA	NA	70652299	70652058	70652100	NA	70652128	NA	NA	NA	70652918	70652625	70652618	NA	70652443	NA	NA	NA	70	315	268	NA	245	NA	NA
chr18	70652977	70653385	Interval_2641	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	3.01963	NA	NA	NA	NA	NA	NA	NA	2.82565	NA	NA	NA	NA	NA	NA	NA	4.93013	NA	NA	NA	NA	NA	NA	NA	70652977	NA	NA	NA	NA	NA	NA	NA	70653385	NA	NA	NA	NA	NA	NA	NA	376	NA	NA	NA	NA
chr18	70657157	70658034	Interval_2642	3	3	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	NA	7.634	11.541	7.6503	NA	NA	NA	NA	NA	14.5245	72.7735	17.6623	NA	NA	NA	NA	NA	17.2153	75.4723	20.1745	NA	NA	NA	NA	NA	70657198	70657173	70657157	NA	NA	NA	NA	NA	70657778	70658034	70657652	NA	NA	NA	NA	NA	150	171	115	NA
chr18	70672987	70673602	Interval_2643	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	4.11604	3.08433	3.82763	NA	NA	NA	NA	NA	4.88797	2.40161	4.34857	NA	NA	NA	NA	NA	7.12694	4.48646	6.57388	NA	NA	NA	NA	NA	70673351	70673252	70672987	NA	NA	NA	NA	NA	70673602	70673571	70673579	NA	NA	NA	NA	NA	159	90	340	NA	NA	NA	NA
chr18	70697459	70698289	Interval_2644	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	3.76571	6.0271	6.80654	7.19601	NA	NA	NA	NA	2.84941	12.3309	14.744	17.4624	NA	NA	NA	NA	5.24181	14.869	17.4272	20.1462	NA	NA	NA	NA	70697906	70697459	70697723	70697830	NA	NA	NA	NA	70698125	70698289	70698282	70698163	NA	NA	NA	NA	134	623	324	172	NA	NA	NA	NA
chr18	70760697	70761765	Interval_2645	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	3.86951	3.18416	3.71592	NA	NA	NA	NA	NA	4.20268	2.38978	4.37639	NA	NA	NA	NA	NA	6.39795	4.47361	6.60331	NA	NA	NA	NA	NA	70760697	70761521	70761144	NA	NA	NA	NA	NA	70761399	70761765	70761558	NA	NA	NA	NA	NA	496	8	341	NA	NA	NA	NA
chr18	70796593	70797176	Interval_2646	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.22628	NA	NA	NA	NA	NA	NA	NA	2.44826	NA	NA	NA	NA	NA	NA	NA	4.54769	NA	NA	NA	NA	NA	NA	NA	70796593	NA	NA	NA	NA	NA	NA	NA	70797176	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA
chr18	70804226	70804575	Interval_2647	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.20361	NA	NA	NA	NA	NA	NA	NA	2.42051	NA	NA	NA	NA	NA	NA	NA	4.50785	NA	NA	NA	NA	NA	NA	NA	70804226	NA	NA	NA	NA	NA	NA	NA	70804575	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA	NA	NA
chr18	70805096	70805397	Interval_2648	1	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4.38932	NA	NA	NA	NA	NA	NA	NA	4.25975	NA	NA	NA	NA	NA	NA	NA	6.77711	NA	NA	NA	NA	NA	NA	NA	70805096	NA	NA	NA	NA	NA	NA	NA	70805397	NA	NA	NA	NA	NA	NA	NA	106	NA	NA	NA	NA	NA	NA	NA
chr18	70856910	70857174	Interval_2649	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	3.32222	NA	NA	NA	NA	NA	NA	NA	2.64905	NA	NA	NA	NA	NA	NA	NA	4.71538	NA	NA	NA	NA	NA	NA	NA	70856910	NA	NA	NA	NA	NA	NA	NA	70857174	NA	NA	NA	NA	NA	NA	NA	222	NA	NA	NA	NA	NA	NA
chr18	70868393	70868701	Interval_2650	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	2.95742	NA	NA	NA	NA	NA	NA	NA	1.86581	NA	NA	NA	NA	NA	NA	NA	3.89392	NA	NA	NA	NA	NA	NA	NA	70868393	NA	NA	NA	NA	NA	NA	NA	70868701	NA	NA	NA	NA	NA	NA	NA	293	NA	NA	NA	NA	NA
chr18	70911049	70911353	Interval_2651	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	4.80361	NA	NA	NA	NA	NA	NA	NA	6.69871	NA	NA	NA	NA	NA	NA	NA	9.03222	NA	NA	NA	NA	NA	NA	NA	70911049	NA	NA	NA	NA	NA	NA	NA	70911353	NA	NA	NA	NA	NA	NA	NA	44	NA	NA	NA	NA	NA	NA
chr18	70926859	70927324	Interval_2652	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	4.3251	NA	NA	NA	NA	NA	NA	NA	5.51363	NA	NA	NA	NA	NA	NA	NA	7.80933	NA	NA	NA	NA	NA	NA	NA	70926859	NA	NA	NA	NA	NA	NA	NA	70927324	NA	NA	NA	NA	NA	NA	NA	308	NA	NA	NA	NA
chr18	70937898	70938363	Interval_2653	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	3.61154	NA	NA	NA	NA	NA	NA	NA	3.53105	NA	NA	NA	NA	NA	NA	NA	5.6746	NA	NA	NA	NA	NA	NA	NA	70937898	NA	NA	NA	NA	NA	NA	NA	70938363	NA	NA	NA	NA	NA	NA	NA	455	NA	NA	NA	NA	NA	NA
chr18	70947109	70947696	Interval_2654	2	2	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	3.41961	3.38469	NA	NA	NA	NA	NA	NA	3.35503	3.12296	NA	NA	NA	NA	NA	NA	5.53948	5.25259	NA	NA	NA	NA	NA	NA	70947439	70947109	NA	NA	NA	NA	NA	NA	70947696	70947590	NA	NA	NA	NA	NA	NA	158	100	NA	NA	NA	NA
chr18	70947965	70948581	Interval_2655	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	3.2621	3.14246	3.5328	NA	NA	NA	NA	NA	3.1239	2.67091	3.58828	NA	NA	NA	NA	NA	5.22917	4.79104	5.75919	NA	NA	NA	NA	NA	70948167	70947965	70948057	NA	NA	NA	NA	NA	70948562	70948208	70948581	NA	NA	NA	NA	NA	123	204	151	NA	NA	NA	NA
chr18	71016285	71016898	Interval_2656	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	6.84022	4.07246	5.86452	NA	NA	NA	NA	NA	13.5712	4.75652	10.8041	NA	NA	NA	NA	NA	16.1444	7.04437	13.3116	NA	NA	NA	NA	NA	71016285	71016472	71016474	NA	NA	NA	NA	NA	71016883	71016898	71016883	NA	NA	NA	NA	NA	479	344	302	NA	NA	NA	NA
chr18	71281231	71281676	Interval_2657	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	8.23416	6.53447	6.97552	NA	NA	NA	NA	NA	21.2321	12.4737	15.6089	NA	NA	NA	NA	NA	23.9895	15.0894	18.25	NA	NA	NA	NA	NA	71281254	71281254	71281231	NA	NA	NA	NA	NA	71281676	71281661	71281639	NA	NA	NA	NA	NA	200	136	143	NA	NA	NA	NA
chr18	71305809	71306035	Interval_2658	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	3.02243	NA	NA	NA	NA	NA	NA	NA	2.02278	NA	NA	NA	NA	NA	NA	NA	4.00536	NA	NA	NA	NA	NA	NA	NA	71305809	NA	NA	NA	NA	NA	NA	NA	71306035	NA	NA	NA	NA	NA	NA	NA	212	NA	NA	NA	NA	NA	NA
chr18	71442840	71443309	Interval_2659	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	9.54238	5.8677	5.29075	NA	NA	NA	NA	NA	26.8145	11.1441	8.92646	NA	NA	NA	NA	NA	29.6799	13.7164	11.371	NA	NA	NA	NA	NA	71442840	71442900	71442911	NA	NA	NA	NA	NA	71443297	71443309	71443252	NA	NA	NA	NA	NA	285	267	173	NA	NA	NA	NA
chr18	71456732	71457157	Interval_2660	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA	4.90789	7.13279	4.35005	NA	NA	NA	NA	NA	9.15687	19.1041	6.9819	NA	NA	NA	NA	NA	11.5914	21.8951	9.34792	NA	NA	NA	NA	NA	71456841	71456737	71456732	NA	NA	NA	NA	NA	71457157	71457132	71457111	NA	NA	NA	NA	NA	70	168	165	NA	NA	NA	NA
chr18	71541096	71541391	Interval_2661	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	2.95742	NA	NA	NA	NA	NA	NA	NA	1.86581	NA	NA	NA	NA	NA	NA	NA	3.89392	NA	NA	NA	NA	NA	NA	NA	71541096	NA	NA	NA	NA	NA	NA	NA	71541391	NA	NA	NA	NA	NA	NA	NA	290	NA	NA	NA	NA	NA
chr18	71595328	71595644	Interval_2662	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	3.04536	NA	NA	NA	NA	NA	NA	NA	2.04498	NA	NA	NA	NA	NA	NA	NA	4.04453	NA	NA	NA	NA	NA	NA	NA	71595328	NA	NA	NA	NA	NA	NA	NA	71595644	NA	NA	NA	NA	NA	NA	NA	39	NA	NA	NA	NA	NA	NA
chr18	71601906	71603330	Interval_2663	5	4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	3.98255;5.95442	6.53441	5.35067	7.09921	NA	NA	NA	NA	3.6217;8.72743	20.302	12.2183	22.3423	NA	NA	NA	NA	6.08804;11.5147	23.0389	14.8261	25.1325	NA	NA	NA	NA	71601959;71602592	71601954	71601906	71601980	NA	NA	NA	NA	71602207;71603121	71603330	71602982	71603330	NA	NA	NA	NA	151;294	977	219	920	NA	NA	NA	NA
