PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_571	chr18	17199537	17199984	+	0	NA	Intergenic	Intergenic	35722	4921533I20Rik	4921533I20Rik	NR_033607			4921533I20Rik			NA
Interval_218	chr18	7852114	7852541	+	0	NA	Intergenic	Intergenic	-16870	Wac	Wac	NM_001360956			Wac			NA
Interval_686	chr18	21836975	21837364	+	0	NA	intron (Ccdc178, intron 22 of 22)	-intron (Ccdc178, intron 22 of 22)	-182156	Klhl14	Klhl14	NM_001081403			Klhl14			NA
Interval_5872	chr19	53971922	53972238	+	0	NA	intron (Shoc2, intron 2 of 9)	-intron (Shoc2, intron 1 of 8)	27204	Shoc2	Shoc2	NM_019658			Shoc2			NA
Interval_1457	chr18	42884682	42884977	+	0	NA	intron (Ppp2r2b, intron 1 of 8)	-intron (Ppp2r2b, intron 1 of 8)	14677	Ppp2r2b	Ppp2r2b	NR_073583			Ppp2r2b			NA
Interval_3260	chr18	83681828	83682180	+	0	NA	Intergenic	Intergenic	-356120	4921531P14Rik	4921531P14Rik	NR_045361			4921531P14Rik			NA
Interval_6055	chr19	57078957	57079553	+	0	NA	intron (Ablim1, intron 8 of 24)	-intron (Ablim1, intron 8 of 21)	-70680	Afap1l2	Afap1l2	NM_001177796			Afap1l2			NA
Interval_2699	chr18	73718889	73719115	+	0	NA	Intergenic	Intergenic	15076	4930578L24Rik	4930578L24Rik	NR_155448			4930578L24Rik			NA
Interval_5091	chr19	38282447	38283032	+	0	NA	intron (Lgi1, intron 2 of 7)	-intron (Lgi1, intron 2 of 7)	17356	Lgi1	Lgi1	NR_157558			Lgi1			NA
Interval_5218	chr19	41743135	41743961	+	0	NA	exon (Slit1, exon 1 of 37)	-exon (Slit1, exon 1 of 37)	308	Slit1	Slit1	NM_015748			Slit1			NA
Interval_293	chr18	10324518	10325914	+	0	NA	promoter-TSS (Greb1l)	-promoter-TSS (Greb1l)	37	Greb1l	Greb1l	NM_001083628			Greb1l			NA
Interval_3510	chr19	4080423	4081106	+	0	NA	Intergenic	Intergenic	-2755	Cabp2	Cabp2	NM_013878			Cabp2			NA
Interval_2422	chr18	66488459	66489132	+	0	NA	Intergenic	Intergenic	-15383	Gm9926	Gm9926	NR_040528			Gm9926			NA
Interval_179	chr18	6760585	6761141	+	0	NA	Intergenic	Intergenic	-4304	Rab18	Rab18	NM_181070			Rab18			NA
Interval_4237	chr19	17323134	17324303	+	0	NA	Intergenic	Intergenic	32949	Gcnt1	Gcnt1	NM_173442			Gcnt1			NA
Interval_3475	chr19	3699566	3699944	+	0	NA	Intergenic	Intergenic	-8538	1810055G02Rik	1810055G02Rik	NM_001358256			1810055G02Rik			NA
Interval_2463	chr18	67448322	67450102	+	0	NA	promoter-TSS (Afg3l2)	-promoter-TSS (Afg3l2)	-20	Afg3l2	Afg3l2	NM_027130			Afg3l2			NA
Interval_2294	chr18	64527308	64527786	+	0	NA	Intergenic	Intergenic	-10990	Nars	Nars	NM_001142950			Nars			NA
Interval_5896	chr19	55110396	55110852	+	0	NA	intron (Gpam, intron 1 of 22)	-intron (Gpam, intron 1 of 22)	-11147	Gpam	Gpam	NM_001356285			Gpam			NA
Interval_2524	chr18	68273989	68275415	+	0	NA	intron (Fam210a, intron 2 of 3)	-intron (Fam210a, intron 2 of 3)	-13729	Mir7219	Mir7219	NR_106078			Mir7219			NA
Interval_4973	chr19	36440199	36440511	+	0	NA	intron (Pcgf5, intron 6 of 8)	-intron (Pcgf5, intron 6 of 9)	61288	Pcgf5	Pcgf5	NM_001368691			Pcgf5			NA
Interval_4879	chr19	32980186	32980516	+	0	NA	Intergenic	Intergenic	-176761	Mir3970	Mir3970	NR_039552			Mir3970			NA
Interval_2371	chr18	65697576	65698671	+	0	NA	promoter-TSS (Oacyl)	-promoter-TSS (Oacyl)	-145	Oacyl	Oacyl	NM_177028			Oacyl			NA
Interval_1333	chr18	38654598	38655102	+	0	NA	Intergenic	Intergenic	-53503	Spry4	Spry4	NM_011898			Spry4			NA
Interval_5982	chr19	55920999	55921296	+	0	NA	intron (Tcf7l2, intron 11 of 11)	-intron (Tcf7l2, intron 10 of 14)	179337	Tcf7l2	Tcf7l2	NM_001142921			Tcf7l2			NA
Interval_1779	chr18	53309640	53309935	+	0	NA	intron (Snx24, intron 1 of 6)	-intron (Snx24, intron 1 of 7)	64162	Snx24	Snx24	NM_001370761			Snx24			NA
Interval_4912	chr19	34445586	34445837	+	0	NA	Intergenic	Intergenic	29437	Ch25h	Ch25h	NM_009890			Ch25h			NA
Interval_5667	chr19	47882539	47883188	+	0	NA	intron (Gsto2, intron 7 of 8)	-intron (Gsto2, intron 7 of 8)	17318	Gsto2	Gsto2	NM_026619			Gsto2			NA
Interval_3117	chr18	80950742	80951323	+	0	NA	Intergenic	Intergenic	-16974	Atp9b	Atp9b	NM_015805			Atp9b			NA
Interval_6106	chr19	57825380	57825615	+	0	NA	intron (Atrnl1, intron 26 of 28)	-intron (Atrnl1, intron 26 of 28)	214463	Atrnl1	Atrnl1	NM_181415			Atrnl1			NA
Interval_279	chr18	9763990	9764548	+	0	NA	intron (Colec12, intron 2 of 9)	-intron (Colec12, intron 2 of 9)	56621	Colec12	Colec12	NM_130449			Colec12			NA
Interval_5450	chr19	45300917	45301496	+	0	NA	Intergenic	Intergenic	-62528	Btrc	Btrc	NM_001360120			Btrc			NA
Interval_2084	chr18	60806531	60807111	+	0	NA	intron (Cd74, intron 1 of 7)	-intron (Cd74, intron 1 of 8)	2972	Cd74	Cd74	NM_001042605			Cd74			NA
Interval_2708	chr18	73846723	73847168	+	0	NA	Intergenic	Intergenic	-12440	Mro	Mro	NM_001305882			Mro			NA
Interval_4294	chr19	18607556	18607952	+	0	NA	intron (Ostf1, intron 1 of 9)	-intron (Ostf1, intron 1 of 9)	24059	Ostf1	Ostf1	NM_017375			Ostf1			NA
Interval_3240	chr18	83184753	83186292	+	0	NA	Intergenic	Intergenic	140362	4921531P14Rik	4921531P14Rik	NR_045361			4921531P14Rik			NA
Interval_3113	chr18	80857675	80858135	+	0	NA	intron (Atp9b, intron 8 of 28)	-intron (Atp9b, intron 8 of 29)	76153	Atp9b	Atp9b	NM_015805			Atp9b			NA
Interval_4357	chr19	21174178	21174998	+	0	NA	Intergenic	Intergenic	69878	4930554I06Rik	4930554I06Rik	NR_126458			4930554I06Rik			NA
Interval_1922	chr18	56763474	56763712	+	0	NA	intron (Marchf3, intron 4 of 4)	-intron (Marchf3, intron 4 of 4)	55780	Lmnb1	Lmnb1	NM_010721			Lmnb1			NA
Interval_199	chr18	7297544	7298054	+	0	NA	intron (Armc4, intron 1 of 20)	-intron (Armc4, intron 1 of 20)	137	Armc4	Armc4	NM_001357492			Armc4			NA
Interval_1844	chr18	54918059	54918309	+	0	NA	intron (Zfp608, intron 2 of 8)	-intron (Zfp608, intron 2 of 8)	71996	Zfp608	Zfp608	NM_001360787			Zfp608			NA
Interval_2141	chr18	61415925	61417170	+	0	NA	Intergenic	Intergenic	-16135	Ppargc1b	Ppargc1b	NM_133249			Ppargc1b			NA
Interval_3403	chr18	88757566	88758729	+	0	NA	Intergenic	Intergenic	136060	Socs6	Socs6	NM_018821			Socs6			NA
Interval_2870	chr18	76003543	76003817	+	0	NA	intron (Zbtb7c, intron 2 of 4)	-intron (Zbtb7c, intron 2 of 4)	94791	2900057B20Rik	2900057B20Rik	NR_045365			2900057B20Rik			NA
Interval_4676	chr19	29112490	29113024	+	0	NA	intron (Rcl1, intron 1 of 8)	-intron (Rcl1, intron 1 of 8)	11382	Rcl1	Rcl1	NM_021525			Rcl1			NA
Interval_5150	chr19	40552868	40553689	+	0	NA	intron (Aldh18a1, intron 18 of 18)	-intron (Aldh18a1, intron 18 of 18)	35185	Aldh18a1	Aldh18a1	NM_153554			Aldh18a1			NA
Interval_4751	chr19	30195040	30196052	+	0	NA	Intergenic	Intergenic	-20105	Gldc	Gldc	NM_138595			Gldc			NA
Interval_2964	chr18	77811658	77812220	+	0	NA	intron (Pstpip2, intron 1 of 14)	-intron (Pstpip2, intron 1 of 14)	-15549	F830208F22Rik	F830208F22Rik	NR_152167			F830208F22Rik			NA
Interval_5520	chr19	46136948	46137825	+	0	NA	exon (Pitx3, exon 2 of 4)	-exon (Pitx3, exon 2 of 4)	5487	Elovl3	Elovl3	NM_001374665			Elovl3			NA
Interval_6210	chr19	59942929	59943956	+	0	NA	promoter-TSS (Rab11fip2)	-promoter-TSS (Rab11fip2)	212	Rab11fip2	Rab11fip2	NM_001033172			Rab11fip2			NA
Interval_2093	chr18	60947440	60948994	+	0	NA	intron (Camk2a, intron 3 of 17)	-intron (Camk2a, intron 3 of 17)	-5656	Mir7220	Mir7220	NR_106079			Mir7220			NA
Interval_1433	chr18	42109448	42109815	+	0	NA	intron (Sh3rf2, intron 3 of 8)	-intron (Sh3rf2, intron 3 of 8)	55921	Sh3rf2	Sh3rf2	NM_172966			Sh3rf2			NA
Interval_461	chr18	13763281	13763590	+	0	NA	intron (Zfp521, intron 5 of 7)	-intron (Zfp521, intron 5 of 7)	209298	Zfp521	Zfp521	NM_001360804			Zfp521			NA
Interval_2224	chr18	62720001	62720378	+	0	NA	intron (Spink13, intron 1 of 4)	-intron (Spink13, intron 1 of 4)	21198	Spink13	Spink13	NM_001168423			Spink13			NA
Interval_6044	chr19	56919533	56920075	+	0	NA	intron (Afap1l2, intron 13 of 20)	-intron (Afap1l2, intron 12 of 19)	45388	Vwa2	Vwa2	NM_172840			Vwa2			NA
Interval_4003	chr19	10576847	10578004	+	0	NA	promoter-TSS (Cyb561a3)	-promoter-TSS (Cyb561a3)	-39	Tmem138	Tmem138	NR_126092			Tmem138			NA
Interval_3396	chr18	88673903	88674354	+	0	NA	Intergenic	Intergenic	220079	Socs6	Socs6	NM_018821			Socs6			NA
Interval_4073	chr19	11946343	11946611	+	0	NA	Intergenic	Intergenic	-19367	Osbp	Osbp	NM_001033174			Osbp			NA
Interval_2002	chr18	58482391	58482916	+	0	NA	Intergenic	Intergenic	-73587	Slc27a6	Slc27a6	NM_001081072			Slc27a6			NA
Interval_908	chr18	30199053	30199375	+	0	NA	Intergenic	Intergenic	-73651	Pik3c3	Pik3c3	NR_151699			Pik3c3			NA
Interval_554	chr18	16622296	16623218	+	0	NA	intron (Cdh2, intron 13 of 15)	-intron (Cdh2, intron 13 of 15)	186489	Cdh2	Cdh2	NM_007664			Cdh2			NA
Interval_1148	chr18	35671305	35671698	+	0	NA	exon (Dnajc18, exon 8 of 8)	-exon (Dnajc18, exon 8 of 8)	-9315	Spata24	Spata24	NM_027733			Spata24			NA
Interval_3622	chr19	5348907	5349303	+	0	NA	exon (Cst6, exon 1 of 3)	-exon (Cst6, exon 1 of 3)	469	Cst6	Cst6	NM_028623			Cst6			NA
Interval_2881	chr18	76084181	76084979	+	0	NA	intron (Zbtb7c, intron 1 of 2)	-intron (Zbtb7c, intron 1 of 2)	13891	2900057B20Rik	2900057B20Rik	NR_045365			2900057B20Rik			NA
Interval_2249	chr18	63348212	63348790	+	0	NA	intron (Piezo2, intron 1 of 53)	-intron (Piezo2, intron 1 of 53)	38682	Piezo2	Piezo2	NM_001039485			Piezo2			NA
Interval_2337	chr18	65156025	65156474	+	0	NA	intron (Nedd4l, intron 7 of 29)	-intron (Nedd4l, intron 8 of 30)	-92612	Mir122	Mir122	NR_029600			Mir122			NA
Interval_4333	chr19	20558558	20559365	+	0	NA	intron (Aldh1a1, intron 3 of 15)	-intron (Aldh1a1, intron 3 of 16)	-6631	C730002L08Rik	C730002L08Rik	NR_045778			C730002L08Rik			NA
Interval_1107	chr18	34931433	34932591	+	0	NA	promoter-TSS (Etf1)	-promoter-TSS (Etf1)	-9	Etf1	Etf1	NM_144866			Etf1			NA
Interval_3293	chr18	84350367	84350595	+	0	NA	intron (Zfp407, intron 6 of 8)	-intron (Zfp407, intron 6 of 8)	239023	Zfp407	Zfp407	NM_001033341			Zfp407			NA
Interval_4498	chr19	24557402	24557789	+	0	NA	Intergenic	Intergenic	-1723	Pip5k1b	Pip5k1b	NM_008846			Pip5k1b			NA
Interval_3759	chr19	6633598	6634410	+	0	NA	Intergenic	Intergenic	-90934	Slc22a12	Slc22a12	NM_009203			Slc22a12			NA
Interval_4154	chr19	15820042	15820375	+	0	NA	Intergenic	Intergenic	104851	Psat1	Psat1	NM_177420			Psat1			NA
Interval_4161	chr19	15903781	15904196	+	0	NA	Intergenic	Intergenic	21071	Psat1	Psat1	NM_177420			Psat1			NA
Interval_4715	chr19	29647355	29648727	+	0	NA	exon (Ermp1, exon 1 of 15)	-exon (Ermp1, exon 1 of 15)	374	Ermp1	Ermp1	NM_001081213			Ermp1			NA
Interval_5446	chr19	45277137	45277319	+	0	NA	Intergenic	Intergenic	-40387	Lbx1	Lbx1	NM_010691			Lbx1			NA
Interval_2087	chr18	60832785	60833114	+	0	NA	intron (Tcof1, intron 8 of 24)	-intron (Tcof1, intron 8 of 25)	16015	Tcof1	Tcof1	NM_001198984			Tcof1			NA
Interval_6232	chr19	60580127	60581780	+	0	NA	promoter-TSS (Cacul1)	-promoter-TSS (Cacul1)	70	Cacul1	Cacul1	NM_001172096			Cacul1			NA
Interval_5728	chr19	50504218	50504592	+	0	NA	intron (Sorcs1, intron 1 of 25)	-intron (Sorcs1, intron 1 of 25)	174241	Sorcs1	Sorcs1	NM_001360457			Sorcs1			NA
Interval_4968	chr19	36319640	36320519	+	0	NA	Intergenic	Intergenic	-58988	Pcgf5	Pcgf5	NM_001368691			Pcgf5			NA
Interval_2932	chr18	77366459	77366998	+	0	NA	intron (Loxhd1, intron 17 of 38)	-intron (Loxhd1, intron 17 of 38)	85070	Loxhd1	Loxhd1	NM_172834			Loxhd1			NA
Interval_4171	chr19	16021861	16022761	+	0	NA	Intergenic	Intergenic	37236	C130060C02Rik	C130060C02Rik	NR_045355			C130060C02Rik			NA
Interval_4742	chr19	30096217	30096588	+	0	NA	Intergenic	Intergenic	65889	Uhrf2	Uhrf2	NM_144873			Uhrf2			NA
Interval_5760	chr19	53021499	53021762	+	0	NA	intron (Xpnpep1, intron 3 of 20)	-intron (Xpnpep1, intron 2 of 19)	-10874	Mir6407	Mir6407	NR_105834			Mir6407			NA
Interval_2293	chr18	64515979	64517250	+	0	NA	promoter-TSS (Nars)	-promoter-TSS (Nars)	-57	Nars	Nars	NM_001142950			Nars			NA
Interval_2457	chr18	67348606	67349187	+	0	NA	intron (Cidea, intron 1 of 4)	-intron (Cidea, intron 1 of 4)	-4793	B430212C06Rik	B430212C06Rik	NR_033214			B430212C06Rik			NA
Interval_2264	chr18	63708002	63709392	+	0	NA	promoter-TSS (Wdr7)	-promoter-TSS (Wdr7)	2	Wdr7	Wdr7	NM_001014981			Wdr7			NA
Interval_4826	chr19	32272227	32273187	+	0	NA	intron (Sgms1, intron 2 of 9)	-intron (Sgms1, intron 2 of 9)	115805	Sgms1	Sgms1	NM_001168526			Sgms1			NA
Interval_242	chr18	8871122	8871369	+	0	NA	Intergenic	Intergenic	-341611	Fzd8	Fzd8	NM_008058			Fzd8			NA
Interval_3302	chr18	84483424	84483958	+	0	NA	intron (Zfp407, intron 3 of 8)	-intron (Zfp407, intron 3 of 8)	105813	Zfp407	Zfp407	NM_001033341			Zfp407			NA
Interval_1076	chr18	34519163	34520132	+	0	NA	Intergenic	Intergenic	-12824	Fam13b	Fam13b	NM_146084			Fam13b			NA
Interval_1238	chr18	37177902	37179021	+	0	NA	intron (Pcdha8, intron 3 of 3)	-intron (Pcdhac1, intron 3 of 3)	34783	Pcdhac2	Pcdhac2	NM_001003672			Pcdhac2			NA
Interval_4729	chr19	29878773	29879012	+	0	NA	Intergenic	Intergenic	-46221	Il33	Il33	NM_001360725			Il33			NA
Interval_90	chr18	4980348	4980980	+	0	NA	Intergenic	Intergenic	-65925	Svil	Svil	NM_153153			Svil			NA
Interval_5506	chr19	45896760	45897080	+	0	NA	intron (Armh3, intron 20 of 25)	-intron (Armh3, intron 20 of 25)	-80857	Kcnip2	Kcnip2	NM_030716			Kcnip2			NA
Interval_144	chr18	5829614	5829996	+	0	NA	Intergenic	Intergenic	-237368	Gm10125	Gm10125	NR_033552			Gm10125			NA
Interval_5404	chr19	44677206	44678052	+	0	NA	Intergenic	Intergenic	-79277	Pax2	Pax2	NM_001368747			Pax2			NA
Interval_2261	chr18	63653226	63653973	+	0	NA	Intergenic	Intergenic	38760	Txnl1	Txnl1	NM_016792			Txnl1			NA
Interval_392	chr18	12305356	12306198	+	0	NA	promoter-TSS (Ankrd29)	-promoter-TSS (Ankrd29)	-57	Ankrd29	Ankrd29	NM_001360803			Ankrd29			NA
Interval_1222	chr18	36671190	36671631	+	0	NA	exon (Apbb3, exon 12 of 12)	-exon (Apbb3, exon 12 of 12)	-1099	Sra1	Sra1	NM_001164406			Sra1			NA
Interval_3369	chr18	86394666	86396159	+	0	NA	exon (Neto1, exon 1 of 9)	-exon (Neto1, exon 1 of 9)	460	Neto1	Neto1	NM_144946			Neto1			NA
Interval_324	chr18	10905116	10905582	+	0	NA	Intergenic	Intergenic	-119797	Mir1a-2	Mir1a-2	NR_029781			Mir1a-2			NA
Interval_3865	chr19	8605105	8605713	+	0	NA	exon (Slc22a8, exon 4 of 11)	-exon (Slc22a8, exon 4 of 11)	-12587	Slc22a6	Slc22a6	NM_008766			Slc22a6			NA
Interval_5282	chr19	42638534	42639286	+	0	NA	Intergenic	Intergenic	-26104	Loxl4	Loxl4	NM_053083			Loxl4			NA
Interval_2120	chr18	61211012	61212122	+	0	NA	promoter-TSS (Slc26a2)	-promoter-TSS (Slc26a2)	29	Slc26a2	Slc26a2	NM_007885			Slc26a2			NA
Interval_3080	chr18	80372813	80373307	+	0	NA	Intergenic	Intergenic	-8806	Kcng2	Kcng2	NM_001190373			Kcng2			NA
Interval_1163	chr18	35837013	35837346	+	0	NA	intron (Cxxc5, intron 1 of 2)	-intron (Cxxc5, intron 1 of 2)	7391	Cxxc5	Cxxc5	NM_133687			Cxxc5			NA
Interval_5951	chr19	55615764	55616098	+	0	NA	intron (Vti1a, intron 8 of 8)	-intron (Vti1a, intron 8 of 8)	86273	4930552P12Rik	4930552P12Rik	NR_045318			4930552P12Rik			NA
Interval_304	chr18	10452698	10452938	+	0	NA	intron (Greb1l, intron 2 of 32)	-intron (Greb1l, intron 2 of 32)	127639	Greb1l	Greb1l	NM_001083628			Greb1l			NA
Interval_186	chr18	6806535	6807019	+	0	NA	Intergenic	Intergenic	41610	Rab18	Rab18	NM_181070			Rab18			NA
Interval_5533	chr19	46356589	46357322	+	0	NA	promoter-TSS (Mfsd13a)	-promoter-TSS (Mfsd13a)	75	Mfsd13a	Mfsd13a	NM_029186			Mfsd13a			NA
Interval_1830	chr18	54626368	54627613	+	0	NA	intron (9330117O12Rik, intron 1 of 2)	-intron (9330117O12Rik, intron 1 of 2)	15246	9330117O12Rik	9330117O12Rik	NR_045400			9330117O12Rik			NA
Interval_5157	chr19	40647818	40648229	+	0	NA	intron (Entpd1, intron 1 of 9)	-intron (Entpd1, intron 1 of 9)	-11747	Entpd1	Entpd1	NM_009848			Entpd1			NA
Interval_3531	chr19	4214272	4215581	+	0	NA	intron (Clcf1, intron 1 of 2)	-intron (Clcf1, intron 1 of 3)	688	Clcf1	Clcf1	NM_001310038			Clcf1			NA
Interval_801	chr18	24491080	24491264	+	0	NA	intron (Rprd1a, intron 6 of 6)	-intron (Rprd1a, intron 6 of 7)	20301	2700062C07Rik	2700062C07Rik	NM_026529			2700062C07Rik			NA
Interval_5135	chr19	40414315	40415549	+	0	NA	intron (Sorbs1, intron 2 of 28)	-intron (Sorbs1, intron 1 of 22)	98804	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
Interval_3201	chr18	82753100	82753822	+	0	NA	Intergenic	Intergenic	5578	2210420H20Rik	2210420H20Rik	NR_045389			2210420H20Rik			NA
Interval_5717	chr19	49958177	49958836	+	0	NA	Intergenic	Intergenic	720140	Sorcs1	Sorcs1	NM_001360457			Sorcs1			NA
Interval_2066	chr18	60680460	60681338	+	0	NA	Intergenic	Intergenic	17489	G630071F17Rik	G630071F17Rik	NR_045401			G630071F17Rik			NA
Interval_3328	chr18	84808838	84809146	+	0	NA	intron (Gm17266, intron 10 of 12)	-intron (Gm17266, intron 10 of 12)	29649	Gm17266	Gm17266	NM_001370919			Gm17266			NA
Interval_937	chr18	31207031	31207611	+	0	NA	intron (Rit2, intron 3 of 4)	-intron (Rit2, intron 3 of 4)	109807	Rit2	Rit2	NM_009065			Rit2			NA
Interval_2939	chr18	77535777	77536076	+	0	NA	intron (Rnf165, intron 1 of 7)	-intron (Rnf165, intron 1 of 7)	29210	Rnf165	Rnf165	NM_001164504			Rnf165			NA
Interval_5293	chr19	42794992	42795674	+	0	NA	intron (Hpse2, intron 11 of 11)	-intron (Hpse2, intron 11 of 11)	-15355	Hps1	Hps1	NM_001346703			Hps1			NA
Interval_2621	chr18	70529636	70530726	+	0	NA	exon (Poli, exon 1 of 10)	-exon (Poli, exon 1 of 10)	140	Poli	Poli	NM_001289516			Poli			NA
Interval_3006	chr18	78392878	78393757	+	0	NA	intron (Slc14a2, intron 2 of 21)	-intron (Slc14a2, intron 2 of 11)	203633	Slc14a2	Slc14a2	NM_001110273			Slc14a2			NA
Interval_5709	chr19	49301389	49302290	+	0	NA	Intergenic	Intergenic	1095814	Sorcs3	Sorcs3	NM_025696			Sorcs3			NA
Interval_5694	chr19	48617005	48617223	+	0	NA	intron (Sorcs3, intron 5 of 26)	-intron (Sorcs3, intron 5 of 26)	411089	Sorcs3	Sorcs3	NM_025696			Sorcs3			NA
Interval_4783	chr19	31329950	31330672	+	0	NA	intron (Prkg1, intron 2 of 17)	-intron (Prkg1, intron 2 of 17)	-113915	8430431K14Rik	8430431K14Rik	NR_002849			8430431K14Rik			NA
Interval_5964	chr19	55750627	55750862	+	0	NA	intron (Tcf7l2, intron 3 of 15)	-intron (Tcf7l2, intron 3 of 14)	8934	Tcf7l2	Tcf7l2	NM_001142921			Tcf7l2			NA
Interval_5418	chr19	44771539	44771815	+	0	NA	intron (Pax2, intron 3 of 9)	-intron (Pax2, intron 4 of 11)	14771	Pax2	Pax2	NM_001368747			Pax2			NA
Interval_1749	chr18	52746094	52746528	+	0	NA	Intergenic	Intergenic	-21500	Sncaip	Sncaip	NM_001199151			Sncaip			NA
Interval_4829	chr19	32277792	32278079	+	0	NA	intron (Sgms1, intron 2 of 9)	-intron (Sgms1, intron 2 of 9)	110577	Sgms1	Sgms1	NM_001168526			Sgms1			NA
Interval_3450	chr19	3353589	3353829	+	0	NA	intron (Cpt1a, intron 3 of 18)	-intron (Cpt1a, intron 3 of 18)	30408	Cpt1a	Cpt1a	NM_013495			Cpt1a			NA
Interval_1985	chr18	58081333	58081872	+	0	NA	intron (Fbn2, intron 20 of 64)	-intron (Fbn2, intron 20 of 64)	128324	Fbn2	Fbn2	NM_010181			Fbn2			NA
Interval_2192	chr18	61967674	61968252	+	0	NA	intron (Sh3tc2, intron 2 of 16)	-intron (Sh3tc2, intron 2 of 16)	14888	Sh3tc2	Sh3tc2	NM_172628			Sh3tc2			NA
Interval_1055	chr18	34202256	34202524	+	0	NA	Intergenic	Intergenic	-18594	Apc	Apc	NM_001360980			Apc			NA
Interval_5459	chr19	45435812	45436327	+	0	NA	intron (Btrc, intron 2 of 13)	-intron (Btrc, intron 2 of 14)	72335	Btrc	Btrc	NM_001360120			Btrc			NA
Interval_3541	chr19	4294342	4294946	+	0	NA	intron (Grk2, intron 3 of 21)	-intron (Grk2, intron 2 of 20)	-11507	Ankrd13d	Ankrd13d	NM_026720			Ankrd13d			NA
Interval_6000	chr19	56286612	56287441	+	0	NA	promoter-TSS (Habp2)	-promoter-TSS (Habp2)	-886	Habp2	Habp2	NM_001329935			Habp2			NA
Interval_3489	chr19	3890130	3890653	+	0	NA	intron (Chka, intron 10 of 12)	-intron (Chka, intron 9 of 11)	14839	Tcirg1	Tcirg1	NM_001136091			Tcirg1			NA
Interval_519	chr18	15174416	15175034	+	0	NA	Intergenic	Intergenic	-23279	Kctd1	Kctd1	NM_134112			Kctd1			NA
Interval_3142	chr18	81510617	81511592	+	0	NA	Intergenic	Intergenic	480976	Mir5127	Mir5127	NR_039589			Mir5127			NA
Interval_1563	chr18	46396431	46397114	+	0	NA	Intergenic	Intergenic	69044	Mospd4	Mospd4	NR_045438			Mospd4			NA
Interval_5260	chr19	42158418	42159001	+	0	NA	Intergenic	Intergenic	11320	Marveld1	Marveld1	NM_183195			Marveld1			NA
Interval_1277	chr18	38025078	38025457	+	0	NA	Intergenic	Intergenic	-27693	Arap3	Arap3	NM_139206			Arap3			NA
Interval_1249	chr18	37753312	37753633	+	0	NA	exon (Pcdhgb7, exon 1 of 4)	-exon (Pcdhgb7, exon 1 of 4)	1853	Pcdhgb7	Pcdhgb7	NM_033579			Pcdhgb7			NA
Interval_5685	chr19	48285770	48286138	+	0	NA	intron (Sorcs3, intron 1 of 26)	-intron (Sorcs3, intron 1 of 26)	79929	Sorcs3	Sorcs3	NM_025696			Sorcs3			NA
Interval_4211	chr19	16598758	16599726	+	0	NA	intron (Gna14, intron 3 of 6)	-intron (Gna14, intron 3 of 6)	163575	Gna14	Gna14	NM_008137			Gna14			NA
Interval_4798	chr19	31923658	31924476	+	0	NA	intron (A1cf, intron 6 of 11)	-intron (A1cf, intron 6 of 11)	55254	A1cf	A1cf	NM_001081074			A1cf			NA
Interval_4544	chr19	25336834	25337145	+	0	NA	intron (Kank1, intron 3 of 13)	-intron (Kank1, intron 3 of 12)	100014	Kank1	Kank1	NM_181404			Kank1			NA
Interval_5567	chr19	46607424	46607759	+	0	NA	intron (Wbp1l, intron 2 of 4)	-intron (Wbp1l, intron 2 of 4)	8485	Wbp1l	Wbp1l	NM_001177812			Wbp1l			NA
Interval_3294	chr18	84376553	84377204	+	0	NA	intron (Zfp407, intron 4 of 8)	-intron (Zfp407, intron 4 of 8)	212626	Zfp407	Zfp407	NM_001033341			Zfp407			NA
Interval_6034	chr19	56811615	56811976	+	0	NA	intron (Ccdc186, intron 2 of 15)	-intron (Ccdc186, intron 2 of 15)	10404	Ccdc186	Ccdc186	NM_170757			Ccdc186			NA
Interval_1031	chr18	33889090	33889731	+	0	NA	intron (Epb41l4a, intron 4 of 23)	-intron (Epb41l4a, intron 4 of 23)	94518	Epb41l4aos	Epb41l4aos	NR_038151			Epb41l4aos			NA
Interval_380	chr18	12135504	12135896	+	0	NA	intron (Riok3, intron 1 of 12)	-intron (Riok3, intron 1 of 12)	6850	Riok3	Riok3	NM_024182			Riok3			NA
Interval_309	chr18	10531376	10531886	+	0	NA	intron (Greb1l, intron 18 of 32)	-intron (Greb1l, intron 18 of 32)	78721	Esco1	Esco1	NM_001081222			Esco1			NA
Interval_1856	chr18	54992008	54993146	+	0	NA	promoter-TSS (Zfp608)	-promoter-TSS (Zfp608)	-2397	Zfp608	Zfp608	NM_001360787			Zfp608			NA
Interval_876	chr18	25942692	25943577	+	0	NA	Intergenic	Intergenic	-188977	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_2423	chr18	66492278	66492473	+	0	NA	Intergenic	Intergenic	-11803	Gm9926	Gm9926	NR_040528			Gm9926			NA
Interval_5129	chr19	40370087	40371040	+	0	NA	intron (Sorbs1, intron 8 of 28)	-intron (Sorbs1, intron 7 of 22)	-98947	Pdlim1	Pdlim1	NM_016861			Pdlim1			NA
